"","Squad","Player","Age","Gls","Ast","PK","CrdY","CrdR","xG_Expected","xA_Expected","single_pos","Min_percent_Playing_Time","Subs_Subs","unSub_Subs","Plus_Minus_Team_Success","On_minus_Off_Team_Success_xG","Sh_Standard","SoT_percent_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","PrgDist_Total","KP","PPA","CrsPA","Prog","Tkl_Tackles","Tkl_percent_Vs_Dribbles","Press_Pressures","_percent_Pressures","Blocks_Blocks","Int","Clr","Err","GA","SoTA","Save_percent","CS","player_height_mtrs","player_market_value_euro","forward","defender","midfield","keeper"
"229","Torino","David Zima","20",0,0,0,3,0,0.7,0.4,"DF",38.4,7,15,1,-0.04,6,50,0.11,605,86.3,2244,4,3,0,17,19,37.5,181,33.1,23,33,60,2,0,0,0,0,"1.9",7e+06,0,1,0,0
"230","Torino","Marko Pjaca","26",3,0,0,0,0,1.9,1.1,"MF",33.6,11,7,-1,0.01,21,42.9,0.09,426,77.2,1232,15,19,7,38,12,57.1,148,30.4,13,8,4,0,0,0,0,0,"1.86",3500000,0,0,1,0
"231","Torino","Alessandro Buongiorno","22",0,1,0,5,0,0.5,0.7,"DF",34.5,11,13,6,-0.15,5,20,0.11,545,81.1,2406,5,1,1,27,23,62.5,168,34.5,16,35,47,0,0,0,0,0,"1.94",4e+06,0,1,0,0
"232","Torino","Karol Linetty","26",0,0,0,2,0,0.9,1.4,"MF",26.2,5,20,1,-0.13,13,15.4,0.07,284,79.9,827,15,6,0,19,13,28.6,193,28,9,8,3,0,0,0,0,0,"1.76",3500000,0,0,1,0
"233","Torino","Etrit Berisha","32",0,0,0,1,0,0,0,"GK",26.3,0,26,-1,-0.19,0,0,0,320,52.8,3829,0,0,0,0,0,0,5,0,0,0,0,2,8,38,84.2,4,"1.94",8e+05,0,0,0,1
"234","Torino","Samuele Ricci","19",0,0,0,1,0,0.4,0.5,"MF",21.1,3,4,2,0.08,4,25,0.1,380,91.6,1353,6,1,0,23,8,33.3,115,29.6,11,18,12,0,0,0,0,0,"1.8",1.2e+07,0,0,1,0
"235","Torino","Armando Izzo","29",0,0,0,4,0,0.4,0,"DF",15.4,5,21,-2,-0.46,5,60,0.09,294,79.9,1306,0,2,0,9,16,75,66,33.3,7,18,30,0,0,0,0,0,"1.83",2800000,0,1,0,0
"236","Torino","Cristian Ansaldi","34",0,3,0,2,0,0.3,1.4,"DF",20.2,14,10,0,-0.57,7,14.3,0.04,413,70.9,2975,16,15,11,47,21,78.6,87,27.6,13,5,10,0,0,0,0,0,"1.81",7e+05,0,1,0,0
"237","Torino","Tomás Rincón","33",0,0,0,2,0,0,0,"MF",4.8,6,11,2,-0.57,0,0,0,93,83.9,273,2,0,0,7,2,0,26,11.5,2,2,4,0,0,0,0,0,"1.77",1e+06,0,0,1,0
"238","Torino","Demba Seck","20",0,0,0,0,0,0.6,0,"FW",4.3,5,9,3,1.32,4,75,0.15,44,81.8,79,0,2,0,2,2,0,26,38.5,2,0,0,0,0,0,0,0,"1.9",3e+06,1,0,0,0
