"","Squad","Player","Age","Gls","Ast","PK","CrdY","CrdR","xG_Expected","xA_Expected","single_pos","Min_percent_Playing_Time","Subs_Subs","unSub_Subs","Plus_Minus_Team_Success","On_minus_Off_Team_Success_xG","Sh_Standard","SoT_percent_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","PrgDist_Total","KP","PPA","CrsPA","Prog","Tkl_Tackles","Tkl_percent_Vs_Dribbles","Press_Pressures","_percent_Pressures","Blocks_Blocks","Int","Clr","Err","GA","SoTA","Save_percent","CS","player_height_mtrs","player_market_value_euro","forward","defender","midfield","keeper"
"306","Bologna","Nicola Sansone","29",2,3,0,6,0,3,2.1,"FW",26.2,21,8,-1,0.2,24,25,0.12,336,70.5,1121,18,11,7,18,15,17.6,185,24.9,2,9,3,0,0,0,0,0,"1.73",2e+06,1,0,0,0
"307","Bologna","Andreas Skov Olsen","21",0,2,0,0,0,0.9,0.4,"DF",21.8,12,2,-3,-0.23,7,28.6,0.13,393,76.6,1590,9,7,7,22,12,22.2,108,23.1,14,5,12,0,0,0,0,0,"1.87",1.2e+07,0,1,0,0
"308","Bologna","Michel Aebischer","24",0,0,0,1,0,0.1,0.4,"MF",13,8,4,1,-0.3,2,100,0.07,243,88.9,926,6,5,1,16,15,50,128,21.1,5,5,3,0,0,0,0,0,"1.83",3500000,0,0,1,0
"309","Bologna","Emanuel Vignato","20",0,1,0,2,0,0.2,1.7,"MF",17.4,21,11,-3,-0.18,5,20,0.05,402,83.6,1632,11,12,3,37,16,33.3,113,31,5,3,6,0,0,0,0,0,"1.75",5e+06,0,0,1,0
"310","Bologna","Francesco Bardi","29",0,0,0,0,0,0,0,"GK",5.2,0,36,1,0.06,0,0,0,50,68,527,0,0,0,0,0,0,0,0,0,0,0,0,2,9,77.8,1,"1.88",6e+05,0,0,0,1
"311","Bologna","Denso Kasius","18",0,0,0,0,0,0.1,0.4,"DF",5.3,6,8,-2,0.01,2,50,0.05,121,85.1,515,5,3,1,6,10,40,39,35.9,6,5,6,0,0,0,0,0,"1.83",2e+06,0,1,0,0
"312","Bologna","Ibrahima Mbaye","26",0,0,0,0,0,0,0,"DF",3.2,5,24,-3,-2.19,0,0,0,49,71.4,296,0,0,0,3,1,50,14,7.1,2,1,8,0,0,0,0,0,"1.88",7e+05,0,1,0,0
"313","Bologna","Nicolas Viola","31",0,0,0,0,0,0,0,"MF",3,5,18,-2,-1.7,1,0,0.04,62,69.4,227,0,0,0,3,4,33.3,25,32,1,2,0,0,0,0,0,0,"1.8",6e+05,0,0,1,0
"314","Bologna","Kingsley Michael","21",0,0,0,0,0,0,0,"MF",2.2,1,1,1,0.09,1,100,0.01,28,85.7,69,0,0,0,2,2,50,19,31.6,4,1,1,0,0,0,0,0,"1.76",4e+05,0,0,1,0
"315","Bologna","Antonio Raimondo","17",0,0,0,0,0,0.1,0,"FW",2.2,0,3,1,0.61,2,50,0.05,13,76.9,8,0,0,0,0,0,0,20,20,0,0,1,0,0,0,0,0,"1.85",0,1,0,0,0
"316","Bologna","Wisdom Amey","15",0,0,0,0,0,0,0,"DF",2.1,0,4,1,0.71,0,0,0,29,69,52,0,0,0,0,2,0,10,30,1,2,3,0,0,0,0,0,"1.87",0,0,1,0,0
"317","Bologna","Federico Santander","30",1,0,0,1,0,0.4,0.1,"FW",2,7,16,0,1.22,2,50,0.2,30,66.7,67,1,1,1,3,2,0,17,23.5,1,1,0,0,0,0,0,0,"1.87",6e+05,1,0,0,0
"318","Bologna","Diego Falcinelli","30",0,0,0,0,0,0.4,0,"FW",1.9,6,6,-1,0.67,5,0,0.08,21,61.9,19,0,0,0,0,4,100,22,31.8,0,2,1,0,0,0,0,0,"1.86",8e+05,1,0,0,0
"319","Bologna","Riccardo Stivanello","17",0,0,0,0,0,0,0,"DF",1.3,1,4,1,0.26,0,0,0,10,90,142,0,0,0,0,2,100,7,42.9,2,0,8,0,0,0,0,0,"1.88",0,0,1,0,0
"320","Bologna","Kacper Urbanski","16",0,0,0,0,0,0,0,"MF",1.3,1,0,1,0.26,0,0,0,26,76.9,66,0,0,0,1,2,100,12,41.7,3,0,0,0,0,0,0,0,"1.78",2e+05,0,0,1,0
"321","Bologna","Sydney van Hooijdonk","21",0,0,0,0,0,0,0,"FW",1.1,4,18,1,-0.94,0,0,0,17,94.1,34,1,0,0,0,1,0,15,0,1,0,0,0,0,0,0,0,"1.9",1300000,1,0,0,0
"322","Bologna","Ebenezer Annan","18",0,0,0,0,0,0,0,"DF",0.7,1,2,-1,-0.26,0,0,0,11,36.4,27,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,"1.78",2e+05,0,1,0,0
"323","Bologna","Niklas Pyyhtiä","17",0,0,0,0,0,0,0,"MF",0.6,1,4,0,1.57,0,0,0,22,81.8,88,0,1,0,3,1,0,6,16.7,1,0,0,0,0,0,0,0,"1.86",4e+05,0,0,1,0
"324","Bologna","Takehiro Tomiyasu","22",0,0,0,0,0,0,0,"DF",0.3,1,0,0,-0.03,0,0,0,3,100,83,1,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,"1.88",2.5e+07,0,1,0,0
"325","Bologna","Nicola Bagnolini","17",0,0,0,0,0,0,0,"GK",0.1,1,9,0,3.26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,"1.93",0,0,0,0,1
"326","Empoli","Guglielmo Vicario","24",0,0,0,1,0,0,0,"GK",100,0,0,-20,0,0,0,0,1323,78.2,17167,1,0,0,0,0,0,4,50,1,0,0,0,70,209,68.9,7,"1.94",1e+07,0,0,0,1
"327","Empoli","Andrea Pinamonti","22",13,2,4,4,0,11.9,2.3,"FW",83.9,4,0,-15,0.59,86,25.6,0.1,653,61.7,1268,25,18,3,37,13,6.7,396,23.2,24,10,25,0,0,0,0,0,"1.85",2e+07,1,0,0,0
"328","Empoli","Filippo Bandinelli","26",2,3,0,10,0,2.6,3.1,"MF",57.2,11,0,-21,-0.07,40,30,0.06,756,75.7,3488,33,43,16,89,50,41.2,441,24.7,27,26,32,0,0,0,0,0,"1.8",3e+06,0,0,1,0
"329","Empoli","Nedim Bajrami","22",6,5,3,3,0,6.2,5.2,"MF",60.1,12,3,-6,0.84,51,35.3,0.08,884,71,3484,55,47,10,90,35,30.8,328,26.8,16,8,10,0,0,0,0,0,"1.79",1e+07,0,0,1,0
"330","Empoli","Liam Henderson","25",2,3,0,4,0,2.5,3.4,"MF",59.1,15,0,-14,-0.52,42,35.7,0.06,851,70.6,3663,42,26,8,77,23,26.3,475,18.1,25,9,17,0,0,0,0,0,"1.83",2800000,0,0,1,0
"331","Empoli","Sebastiano Luperto","24",0,1,0,8,1,0.9,0.5,"DF",57.3,2,8,-10,-0.02,9,33.3,0.09,971,85.1,6119,7,5,0,60,30,50,204,31.4,47,55,149,0,0,0,0,0,"1.91",3e+06,0,1,0,0
"332","Empoli","Simone Romagnoli","31",2,0,0,3,0,1.4,0.3,"DF",43.8,2,14,-7,0.29,5,40,0.28,772,78.9,5726,5,8,0,47,26,66.7,177,32.2,41,22,95,0,0,0,0,0,"1.93",1e+06,0,1,0,0
"333","Empoli","Federico Di Francesco","27",5,0,0,2,0,2.4,1,"FW",40,9,4,-2,0.01,25,32,0.1,385,67,1348,15,13,1,40,14,19,280,27.9,18,11,8,0,0,0,0,0,"1.71",2e+06,1,0,0,0
"334","Empoli","Mattia Viti","19",0,0,0,3,1,0.5,0,"DF",43.6,4,14,0,-0.29,3,0,0.18,684,83.6,3436,2,0,0,42,36,58.3,226,31.9,41,36,69,0,0,0,0,0,"1.9",7e+06,0,1,0,0
"335","Empoli","Fabiano Parisi","20",0,1,0,5,0,0.8,0.6,"DF",43.2,9,7,-5,0.07,17,29.4,0.05,792,75.6,4988,10,22,0,76,40,37,279,34.1,44,54,27,0,0,0,0,0,"1.78",4500000,0,1,0,0
"336","Empoli","Riccardo Marchizza","23",0,1,0,4,0,0.3,1.6,"DF",39.4,3,3,-14,0.13,8,12.5,0.04,649,71.3,3372,12,16,9,47,20,43.8,211,26.1,27,18,28,0,0,0,0,0,"1.86",2e+06,0,1,0,0
"337","Empoli","Patrick Cutrone","23",3,0,0,1,0,4.7,0.9,"FW",41,13,9,-6,0.05,51,29.4,0.09,253,68,548,9,7,1,16,8,40,221,21.3,11,8,3,0,0,0,0,0,"1.83",3500000,1,0,0,0
"338","Empoli","Kristjan Asllani","19",1,1,0,2,0,0.8,1.1,"MF",39.6,9,10,-11,-0.27,16,37.5,0.05,746,82.7,3458,8,4,1,51,27,37,255,23.9,19,34,21,0,0,0,0,0,"1.75",1e+07,0,0,1,0
"339","Empoli","Ardian Ismajli","24",0,0,0,7,0,0.3,0.1,"DF",37.2,7,13,-17,-0.48,5,20,0.07,708,85.6,4474,2,4,0,43,17,43.8,152,30.9,24,25,83,0,0,0,0,0,"1.85",1800000,0,1,0,0
"340","Empoli","Nicolas Haas","25",0,2,0,3,0,0.3,0.9,"MF",29.3,5,1,0,0.37,7,28.6,0.05,477,78.4,2076,13,16,4,51,40,43.2,258,27.9,26,10,15,0,0,0,0,0,"1.78",3e+06,0,0,1,0
"341","Empoli","Lorenzo Tonelli","31",0,0,0,4,0,0.4,0.2,"DF",25.4,6,11,-5,0.02,7,42.9,0.06,550,84.5,3966,5,6,0,45,17,14.3,108,37,16,16,38,1,0,0,0,0,"1.83",1e+06,0,1,0,0
"342","Empoli","Riccardo Fiamozzi","28",0,1,0,1,0,0,0.5,"DF",18.1,3,22,-7,-0.46,0,0,0,388,75.3,2686,5,6,2,38,8,100,52,36.5,13,10,11,1,0,0,0,0,"1.75",5e+05,0,1,0,0
"343","Empoli","Liberato Cacace","20",0,0,0,1,0,0,0,"DF",13.6,5,5,-4,-0.18,1,0,0.03,237,82.7,1382,1,0,0,17,17,70,94,30.9,6,14,9,0,0,0,0,0,"1.83",2500000,0,1,0,0
"344","Empoli","Leonardo Mancuso","29",1,0,0,0,0,2.2,0.4,"FW",12.4,3,14,-7,-0.2,12,41.7,0.18,79,67.1,186,4,6,2,5,1,0,34,23.5,3,3,3,0,0,0,0,0,"1.82",2700000,1,0,0,0
"345","Empoli","Valerio Verre","27",0,1,0,2,1,0.7,0.7,"MF",9.1,4,4,-3,0.43,9,44.4,0.07,166,73.5,653,6,8,0,22,8,42.9,73,31.5,1,3,1,0,0,0,0,0,"1.81",2500000,0,0,1,0
"346","Empoli","Andrea La Mantia","30",2,0,0,0,0,1.9,0.3,"FW",14.3,15,20,-1,0.56,17,17.6,0.11,98,71.4,214,7,1,0,11,2,0,41,17.1,3,2,6,0,0,0,0,0,"1.9",1300000,1,0,0,0
"347","Empoli","Tommaso Baldanzi","18",0,0,0,0,0,0,0,"FW",0.5,1,5,1,-8.54,0,0,0,7,71.4,0,1,0,0,0,0,0,5,40,1,0,0,0,0,0,0,0,"1.7",8e+05,1,0,0,0
"348","Empoli","Giovanni Crociata","23",0,0,0,0,0,0.1,0,"FW",0.4,1,0,0,1.2,1,0,0.05,9,77.8,18,0,1,0,1,0,0,10,20,0,0,0,0,0,0,0,0,"1.74",550000,1,0,0,0
"349","Sampdoria","Antonio Candreva","34",7,10,1,6,1,6,6.7,"MF",91.2,0,0,-12,1.05,72,27.8,0.06,1935,66.8,9509,76,72,25,180,27,23.5,389,27,47,51,10,0,0,0,0,0,"1.8",2500000,0,0,1,0
"350","Sampdoria","Morten Thorsby","25",3,1,0,10,0,3.4,1.1,"MF",86.1,0,0,-17,-0.19,26,26.9,0.13,1002,73.5,3244,13,12,0,82,50,38.1,620,30.5,58,33,56,0,0,0,0,0,"1.89",7e+06,0,0,1,0
"351","Sampdoria","Omar Colley","28",0,0,0,6,1,1.4,0,"DF",80.3,1,0,-5,0.64,11,9.1,0.13,1425,84.2,7459,0,1,0,73,54,58.1,270,37,49,99,146,2,0,0,0,0,"1.91",4500000,0,1,0,0
"352","Sampdoria","Emil Audero","24",0,0,0,2,0,0,0.4,"GK",74.9,0,7,-12,-0.08,0,0,0,999,69.4,14943,2,0,0,0,0,0,5,20,0,0,0,0,48,131,64.1,5,"1.92",6e+06,0,0,0,1
"353","Sampdoria","Tommaso Augello","26",1,1,0,0,0,0.4,1.9,"DF",70,11,0,-7,0.3,7,28.6,0.06,1384,76.7,8766,18,33,13,119,45,48.1,255,30.6,47,46,57,1,0,0,0,0,"1.8",3500000,0,1,0,0
"354","Sampdoria","Alex Ferrari","27",1,0,0,4,0,0.5,0,"DF",48,3,15,-5,0.01,4,25,0.11,813,84.6,4254,2,4,0,37,44,55.3,239,36.8,42,54,68,3,0,0,0,0,"1.91",1800000,0,1,0,0
"355","Sampdoria","Maya Yoshida","32",2,3,0,2,0,0.8,1.3,"DF",53.3,7,5,-15,-0.03,10,50,0.08,930,85.2,5733,6,5,1,41,19,36.4,152,30.3,37,48,79,1,0,0,0,0,"1.89",1500000,0,1,0,0
"356","Sampdoria","Fabio Quagliarella","38",4,2,1,2,0,4.2,2.1,"FW",48.7,14,3,-12,-0.36,57,17.5,0.06,472,68.2,1257,20,17,5,32,5,0,294,24.1,14,11,12,0,0,0,0,0,"1.8",1e+06,1,0,0,0
"357","Sampdoria","Albin Ekdal","32",1,0,0,11,1,0.7,0.4,"MF",47.9,7,5,-7,-0.27,14,14.3,0.05,721,80.9,2624,6,7,0,69,45,40,350,30.9,39,40,30,0,0,0,0,0,"1.86",1e+06,0,0,1,0
"358","Sampdoria","Manolo Gabbiadini","29",6,2,0,3,0,3.9,1.7,"FW",33.3,3,0,-4,0.2,44,47.7,0.09,340,66.2,1106,16,14,4,33,10,10,122,20.5,8,5,10,0,0,0,0,0,"1.86",4e+06,1,0,0,0
"359","Sampdoria","Nicola Murru","26",1,0,0,5,0,0.1,0.4,"DF",28.7,9,15,-9,-0.32,3,33.3,0.03,469,66.7,2861,7,9,4,41,29,66.7,154,31.8,28,16,24,0,0,0,0,0,"1.8",2e+06,0,1,0,0
"360","Sampdoria","Adrien Silva","32",0,1,0,3,1,0.3,0.5,"MF",31.7,5,0,0,0.77,8,25,0.03,605,85,2494,8,6,2,48,35,40.6,234,32.5,21,32,21,0,0,0,0,0,"1.75",2e+06,0,0,1,0
"361","Sampdoria","Abdelhamid Sabiri","24",3,2,0,3,0,1.1,1.2,"MF",26.1,5,1,-2,-0.03,16,56.3,0.07,345,75.7,1141,11,7,1,25,32,38.5,260,25.8,10,8,6,0,0,0,0,0,"1.86",3e+06,0,0,1,0
"362","Sampdoria","Wladimiro Falcone","26",0,0,0,2,0,0,0,"GK",25,1,27,-4,0.19,0,0,0,358,69.8,4587,0,0,0,0,0,0,1,0,0,0,1,0,14,53,75.5,2,"1.95",3e+06,0,0,0,1
"363","Sampdoria","Kristoffer Askildsen","20",0,0,0,5,0,0.3,0.2,"MF",22,12,13,-5,0.09,7,0,0.04,228,68.4,879,2,2,0,22,16,43.8,138,26.8,22,18,19,0,0,0,0,0,"1.9",1800000,0,0,1,0
"364","Sampdoria","Mikkel Damsgaard","21",0,0,0,1,0,0.7,0.4,"MF",16.9,5,2,-1,0.3,11,18.2,0.07,268,75.7,927,11,9,1,30,22,37.9,172,25,13,10,7,0,0,0,0,0,"1.8",1.5e+07,0,0,1,0
"365","Sampdoria","Ronaldo Vieira","23",0,0,0,3,0,0.1,0,"MF",14.5,10,4,0,-0.31,1,0,0.08,287,86.8,951,0,2,0,10,10,30.8,99,28.3,10,8,8,1,0,0,0,0,"1.78",3500000,0,0,1,0
"366","Sampdoria","Julian Chabot","23",0,0,0,5,0,0.1,0,"DF",14.3,7,11,-10,-0.51,3,33.3,0.04,245,82.4,1713,0,1,0,19,14,63.6,80,30,12,12,32,0,0,0,0,0,"1.95",2e+06,0,1,0,0
"367","Sampdoria","Riccardo Ciervo","19",0,1,0,0,0,0.1,0.2,"MF",6.6,9,11,-1,-0.09,3,33.3,0.04,73,71.2,226,4,1,1,3,7,20,43,23.3,2,5,2,0,0,0,0,0,"1.9",1500000,0,0,1,0
"368","Sampdoria","Ernesto Torregrossa","29",0,0,0,1,0,0,0.1,"FW",3.4,10,4,-1,-1.02,0,0,0,46,67.4,131,2,1,0,3,2,0,21,23.8,0,0,1,0,0,0,0,0,"1.84",3e+06,1,0,0,0
"369","Sampdoria","Simone Trimboli","19",0,0,0,1,0,0,0.2,"MF",1.9,5,30,-1,0.56,0,0,0,51,88.2,205,2,2,0,7,3,100,14,42.9,2,1,0,0,0,0,0,0,"1.76",6e+05,0,0,1,0
"370","Sampdoria","Sebastian Giovinco","34",0,0,0,0,0,0,0,"MF",1.1,2,3,0,2,1,0,0.04,10,60,16,0,1,0,1,0,0,9,33.3,0,0,0,0,0,0,0,0,"1.64",5e+05,0,0,1,0
"371","Sampdoria","Gerard Yepes","18",0,0,0,0,0,0,0,"MF",0.6,4,14,0,-3.06,0,0,0,22,86.4,146,0,0,0,1,0,0,8,12.5,1,1,0,0,0,0,0,0,"1.7",5e+05,0,0,1,0
"372","Sampdoria","Nicola Ravaglia","32",0,0,0,0,0,0,0,"GK",0.1,1,34,-1,-13.72,0,0,0,4,50,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1.84",2e+05,0,0,0,1
"373","Spezia","Emmanuel Gyasi","27",6,0,0,10,0,5.9,1.4,"FW",88.7,1,0,-21,-0.08,39,35.9,0.15,942,82.3,2367,21,18,4,49,58,47.8,433,27.9,36,28,36,1,0,0,0,0,"1.81",2500000,1,0,0,0
"374","Spezia","Giulio Maggiore","23",2,3,0,9,0,3.3,2.8,"MF",82.4,2,0,-18,0.21,42,19,0.08,1139,75.6,4464,34,26,1,108,63,39.1,645,27.3,44,48,32,0,0,0,0,0,"1.84",8500000,0,0,1,0
"375","Spezia","Ivan Provedel","27",0,0,0,2,0,0,0,"GK",80.7,0,7,-19,-0.1,1,100,0.02,1186,62.1,17368,0,1,0,1,0,0,4,50,0,0,1,1,52,155,72.3,7,"1.92",3500000,0,0,0,1
"376","Spezia","Kelvin Amian","23",1,1,0,9,2,2.4,1.2,"DF",77.4,1,1,-20,0.19,26,26.9,0.09,1137,79.2,6667,13,12,3,69,68,57.5,444,34.9,68,48,72,0,0,0,0,0,"1.8",3500000,0,1,0,0
"377","Spezia","Martin Erlic","23",2,0,0,5,0,2.1,0.4,"DF",75.3,0,0,-22,-0.76,15,20,0.14,1048,81.6,5509,5,1,0,25,33,52.2,291,33.7,74,63,128,0,0,0,0,0,"1.93",5500000,0,1,0,0
"378","Spezia","Simone Bastoni","24",3,3,0,5,1,1.7,3.4,"MF",66.9,5,1,-20,-0.22,28,21.4,0.06,1210,73.4,6849,45,30,13,92,60,44.6,521,24.8,52,57,29,0,0,0,0,0,"1.81",7500000,0,0,1,0
"379","Spezia","Arkadiusz Reca","26",0,2,0,3,0,0.6,1.8,"DF",51.8,3,1,-13,0.03,8,50,0.08,889,70.4,5785,12,17,11,59,36,51.3,263,29.7,38,46,46,2,0,0,0,0,"1.87",3e+06,0,1,0,0
"380","Spezia","Jakub Kiwior","21",0,0,0,6,0,0.4,0.2,"MF",57.4,1,8,-11,-0.02,9,44.4,0.04,696,78.9,2551,7,2,0,35,53,36.7,522,29.1,52,44,56,0,0,0,0,0,"1.89",3e+06,0,0,1,0
"381","Spezia","Daniele Verde","25",8,6,1,2,0,5.6,4.9,"FW",57.2,12,2,-15,0.29,54,42.6,0.08,830,69.5,3639,41,26,8,76,15,38.1,191,25.1,21,30,6,0,0,0,0,0,"1.68",5e+06,1,0,0,0
"382","Spezia","Rey Manaj","24",5,0,2,9,0,7.1,1.4,"FW",51.7,11,3,-14,0.44,51,27.5,0.1,449,75.5,845,13,6,1,18,19,35.3,371,23.5,17,6,16,0,0,0,0,0,"1.82",1500000,1,0,0,0
"383","Spezia","Viktor Kovalenko","25",1,3,0,4,0,0.3,1.3,"MF",38.7,10,6,-13,0.01,8,25,0.03,601,76.4,1874,15,9,0,45,17,31.8,223,29.1,24,15,9,0,0,0,0,0,"1.82",3e+06,0,0,1,0
"384","Spezia","Petko Hristov","22",1,1,0,3,0,0.2,0.1,"DF",36.5,4,17,-17,-0.12,2,50,0.11,604,83.4,3659,2,1,0,26,14,33.3,126,30.2,34,24,66,0,0,0,0,0,"1.91",1e+06,0,1,0,0
"385","Spezia","Jacopo Sala","29",1,0,0,3,0,0.1,0.3,"MF",25.7,5,8,-7,0.2,4,50,0.02,478,84.9,1802,6,6,2,40,23,31.6,232,33.2,11,22,8,0,0,0,0,0,"1.81",5e+05,0,0,1,0
"386","Spezia","Kevin Agudelo","22",3,1,0,2,1,2.5,0.8,"MF",36.2,11,0,-7,0.01,22,50,0.11,385,73.8,1221,10,13,3,37,41,42.1,400,22,27,18,4,0,0,0,0,0,"1.78",3500000,0,0,1,0
"387","Spezia","M'Bala Nzola","24",2,1,0,2,0,3,1.4,"FW",31.2,11,5,-8,-0.24,22,59.1,0.14,251,80.1,290,10,3,0,10,7,0,176,22.7,8,2,14,0,0,0,0,0,"1.85",2e+06,1,0,0,0
"388","Spezia","Janis Antiste","18",1,0,0,0,0,1.4,0.3,"FW",23.3,9,17,-15,0.58,11,18.2,0.13,212,65.6,412,4,7,3,8,18,29.4,200,28.5,9,8,8,1,0,0,0,0,"1.82",4e+06,1,0,0,0
"389","Spezia","Jeroen Zoet","30",0,0,0,0,0,0,0,"GK",18.4,0,29,-11,-0.12,0,0,0,235,75.7,2509,0,0,0,0,0,0,1,0,0,0,0,1,19,40,55,0,"1.89",850000,0,0,0,1
"390","Spezia","Eddie Salcedo","19",0,0,0,1,0,1.6,0.2,"MF",12.5,7,7,-8,-0.2,16,25,0.1,150,69.3,482,5,4,1,16,1,0,49,36.7,5,4,5,0,0,0,0,0,"1.78",3500000,0,0,1,0
"391","Spezia","Ebrima Colley","21",0,0,0,1,0,0.7,1.6,"FW",11.5,8,6,-7,-0.39,12,41.7,0.06,127,68.5,516,6,8,3,14,7,16.7,92,20.7,8,5,2,0,0,0,0,0,"1.8",3200000,1,0,0,0
"392","Spezia","Mehdi Bourabia","29",1,0,0,0,0,0,0,"MF",8.2,6,11,-4,-0.57,1,100,0.04,116,80.2,376,1,0,0,6,5,11.1,60,23.3,12,6,8,1,0,0,0,0,"1.83",9e+05,0,0,1,0
"393","Spezia","Suf Podgoreanu","19",0,1,0,0,0,0,0,"FW",3.3,4,13,-1,1.86,1,0,0.04,50,78,105,1,1,1,2,6,33.3,30,33.3,2,0,4,0,0,0,0,0,"1.93",5e+05,1,0,0,0
"394","Spezia","Luca Vignali","25",0,0,0,0,0,0,0,"DF",2.5,1,0,-4,-1.8,0,0,0,51,82.4,150,0,0,0,1,1,0,11,18.2,0,1,2,0,0,0,0,0,"1.86",1300000,0,1,0,0
"395","Spezia","Aurélien Nguiamba","22",0,0,0,1,0,0,0,"MF",1.5,3,17,-1,1.55,0,0,0,34,79.4,212,0,0,0,3,4,66.7,34,11.8,1,1,1,0,0,0,0,0,"1.79",4e+05,0,0,1,0
"396","Spezia","Aimar Sher","18",0,0,0,0,0,0,0,"MF",1.3,1,16,-1,1.19,0,0,0,19,94.7,100,0,1,0,3,2,0,13,69.2,2,1,2,0,0,0,0,0,"1.75",1e+06,0,0,1,0
"397","Spezia","Nicolò Bertola","18",0,0,0,0,0,0,0,"MF",1,2,28,-1,3.1,1,100,0.01,14,64.3,53,0,0,0,0,3,100,11,36.4,0,5,0,0,0,0,0,0,"1.92",3e+05,0,0,1,0
"398","Spezia","Petar Zovko","19",0,0,0,1,0,0,0,"GK",0.8,1,36,-1,3.88,0,0,0,10,70,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.92",1e+05,0,0,0,1
"399","Salernitana","Lassana Coulibaly","25",0,0,0,3,0,0.9,0.3,"MF",68.2,2,0,-35,-0.03,22,31.8,0.04,856,81.8,3278,10,11,1,63,61,37.3,557,26.4,51,41,32,0,0,0,0,0,"1.83",3e+06,0,0,1,0
"400","Salernitana","Luca Ranieri","22",1,0,0,9,0,0.6,0.7,"DF",61.5,2,2,-27,0,9,44.4,0.07,981,70.7,6393,10,20,12,85,41,50,214,29.9,43,42,60,0,0,0,0,0,"1.87",2500000,0,1,0,0
"401","Salernitana","Vid Belec","31",0,0,0,1,0,0,0,"GK",56.7,2,15,-34,-0.42,0,0,0,579,62.7,10170,0,1,0,0,0,0,2,0,0,0,0,0,49,129,64.3,1,"1.92",5e+05,0,0,0,1
"402","Salernitana","Federico Bonazzoli","24",10,0,2,6,0,7.4,0.8,"FW",54.6,13,1,-25,-0.15,56,35.7,0.11,554,74.9,1306,9,12,1,39,25,33.3,306,21.2,21,8,6,0,0,0,0,0,"1.82",5e+06,1,0,0,0
"403","Salernitana","Federico Fazio","34",1,0,0,3,1,1.2,0.2,"DF",41.9,0,0,-8,0.68,16,18.8,0.07,625,82.9,3730,6,5,1,41,15,63.6,159,27,30,46,79,0,0,0,0,0,"1.95",6e+05,0,1,0,0
"404","Salernitana","Franck Ribéry","38",0,2,0,3,1,1.1,2.9,"MF",41.5,7,0,-16,0.26,13,15.4,0.08,665,77.7,2251,33,23,2,61,17,28.6,264,29.2,17,13,3,0,0,0,0,0,"1.7",1e+06,0,0,1,0
"405","Salernitana","Luigi Sepe","30",0,0,0,2,0,0,0,"GK",40.7,0,0,-6,0.62,0,0,0,565,68,11441,0,1,0,0,0,0,1,100,0,0,0,0,24,75,72,1,"1.85",1400000,0,0,0,1
"406","Salernitana","Grigoris Kastanos","23",1,1,0,4,1,1.5,1.6,"MF",39.4,11,6,-16,0.24,28,28.6,0.05,597,72.4,2813,28,18,2,62,32,19,273,27.5,24,33,11,0,0,0,0,0,"1.79",1500000,0,0,1,0
"407","Salernitana","Pasquale Mazzocchi","26",0,2,0,2,0,0.2,1.6,"DF",37.1,0,0,-7,0.54,6,33.3,0.03,566,71.7,3241,17,17,9,34,21,26.9,187,36.9,15,24,33,0,0,0,0,0,"1.83",1500000,0,1,0,0
"408","Salernitana","Francesco Di Tacchio","31",0,0,0,3,0,0.4,0.1,"MF",36.7,4,14,-25,-0.81,14,7.1,0.03,536,80.8,2557,3,8,0,50,18,34.6,197,27.9,25,36,23,0,0,0,0,0,"1.86",4e+05,0,0,1,0
"409","Salernitana","Nadir Zortea","22",1,2,0,3,0,0.6,2.1,"DF",41.2,16,6,-15,0.5,16,25,0.04,487,65.5,3212,18,25,18,37,27,40,191,28.8,24,24,28,0,0,0,0,0,"1.75",1400000,0,1,0,0
"410","Salernitana","Éderson","22",2,1,0,5,0,1.7,0.9,"MF",33.5,2,1,-2,0.93,22,36.4,0.08,371,81.7,1175,9,6,0,27,39,50,247,28.7,13,24,17,0,0,0,0,0,"1.83",1.3e+07,0,0,1,0
"411","Salernitana","Joel Obi","30",0,1,0,4,0,1.7,1.7,"MF",33.4,9,11,-18,-0.46,10,20,0.17,377,78.2,1192,14,3,2,16,27,22.2,278,25.5,19,19,8,0,0,0,0,0,"1.78",5e+05,0,0,1,0
"412","Salernitana","Riccardo Gagliolo","31",0,1,0,2,0,0.8,0,"DF",33.3,5,15,-15,-0.17,8,12.5,0.1,491,78.2,3487,1,2,0,38,28,45.8,137,32.1,20,40,58,0,0,0,0,0,"1.8",8e+05,0,1,0,0
"413","Salernitana","Stefan Strandberg","31",0,0,0,2,1,0.4,0.3,"DF",27.3,0,0,-11,0.27,9,22.2,0.04,511,84.5,4737,3,3,1,40,13,40,87,32.2,21,14,62,0,0,0,0,0,"1.89",5e+05,0,1,0,0
"414","Salernitana","Wajdi Kechrida","25",0,1,0,0,0,0.3,1,"DF",27.8,7,7,-21,-0.47,6,16.7,0.04,343,72.6,2090,13,14,8,38,16,50,131,27.5,19,8,14,0,0,0,0,0,"1.84",8e+05,0,1,0,0
